card_id,date,price,scrap_date,source_id,dl_loaded_date
H511023,2023-02-02,30775,2023-05-04T08:37:16.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H511023,2023-03-02,30525,2023-05-04T08:37:16.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
H511023,2023-03-13,29775,2023-05-04T08:37:16.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
X16700,2023-04-01,28441,2023-05-04T08:31:44.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
X16700,2023-04-13,27992,2023-05-04T08:31:44.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
HP56197,2022-09-20,30015,2023-05-04T08:21:08.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
HP56197,2022-10-15,29015,2023-05-04T08:21:08.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
HP56197,2022-12-02,30015,2023-05-04T08:21:08.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
HP56197,2023-03-28,29000,2023-05-04T08:21:08.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
HP56197,2023-04-28,28600,2023-05-04T08:21:08.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PSLDTT13604,2023-03-11,28601,2023-05-04T08:24:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PSLDTT13604,2023-03-18,27906,2023-05-04T08:24:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PSLDTT13604,2023-04-05,27535,2023-05-04T08:24:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PSLDTT13604,2023-04-14,26999,2023-05-04T08:24:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PSLDTT13604,2023-04-24,26499,2023-05-04T08:24:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PSLDTT13604,2023-05-03,26299,2023-05-04T08:24:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
170523U,2023-04-14,26500,2023-05-04T08:56:08.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
170523U,2023-05-01,23900,2023-05-04T08:56:08.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PC742881,2023-04-17,30441,2023-05-04T08:14:26.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PC742881,2023-04-27,29811,2023-05-04T08:14:26.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P11164,2023-04-10,25700,2023-05-04T08:30:04.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P11164,2023-04-19,26200,2023-05-04T08:30:04.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P11164,2023-04-27,26100,2023-05-04T08:30:04.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P11164,2023-04-28,25900,2023-05-04T08:30:04.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
